title,url,company,location,salary,posted,snippets
Office Manager,https://www.indeed.com/company/Graceworks-Housecleaning-Services/jobs/Office-Manager-facd537aafc39bf8?fccid=8f97522c64c3d1c2&vjs=3,GraceWorks Housecleaning Services,"White City, OR",Up to $22 an hour,"Posted
Today","Starting pay of $22, with a potential $1-2 raise after a year. / For over 15 years, we've championed eco-friendly practices in residential cleaning and have been…"
Return Agent Full Time Medford Airport,https://www.indeed.com/rc/clk?jk=7992157ec88735c4&fccid=97de6e3bf84e8d35&vjs=3,Enterprise Holdings,"Medford, OR 97504",$17.50 - $22.50 an hour,14 days ago,Must have a valid drivers license with no more than 2 moving violations and/or at-fault accidents on driving record in the past 3 years.
Custodian I - Multiple Locations,https://www.indeed.com/rc/clk?jk=022c440f45bbd4ec&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",2 days ago,"Certificates, Licenses, Registrations: Certificates as determined necessary by the District, including a valid Oregon driver's license and asbestos training."
8242 - Records Clerk (Sheriff),https://www.indeed.com/rc/clk?jk=5986453115807145&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$19.53 - $23.74 an hour,30+ days ago,Requires possession of a valid driver’s license and an acceptable driving record. / Takes photographs of applicants applying for a concealed handgun license.
Social Service Assistant,https://www.indeed.com/rc/clk?jk=caf703b2c82465cf&fccid=12085f89e1b2bf51&vjs=3,Department of Human Services,"Medford, OR","$3,022 - $4,465 a month",30+ days ago,A valid driver’s license and acceptable driving record are required. / You will observe family time and take case notes. / Some travel may be hours away.
Entry-Level Production Technician,https://www.indeed.com/rc/clk?jk=d6ad134f20295a08&fccid=1e1f3ff04fee41c2&vjs=3,Timber Products Company,"Medford, OR 97501",$20.53 - $20.94 an hour,30+ days ago,"Must be able to learn to operate a variety of production machinery. / Previous manufacturing or wood products experience preferred, but not required."
Cemetery Caretaker,https://www.indeed.com/rc/clk?jk=f7a66439b93142c5&fccid=dd616958bd9ddc12&vjs=3,US National Cemetery Administration,"Eagle Point, OR 97524",$22.61 - $26.38 an hour,1 day ago,Must possess a valid state driver's license. / Must possess and maintain a valid state driver's license. / Eligibility for benefits depends on the type of position…
8310 - Office Specialist - Parts Clerk (Roads & Parks),https://www.indeed.com/rc/clk?jk=15464543376305aa&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$18.73 - $25.04 an hour,8 days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
"Groundman-Provisional (Local 659) - Medford, Oregon",https://www.indeed.com/rc/clk?jk=79936aa5bd07bbed&fccid=032ea88f092cd8dd&vjs=3,PacifiCorp,"Medford, OR 97501","",30+ days ago,"Note: This position is a full time provisional status that will accrue benefits equivalent to a regular employee including vacation, sick leave, medical…"
"Assistant Manager, Distribution - Medford, Oregon",https://www.indeed.com/rc/clk?jk=b32a34d6f81f6eed&fccid=032ea88f092cd8dd&vjs=3,PacifiCorp,"Medford, OR 97501","",30+ days ago,"Valid driver’s license is required. / Benefits: Health care, retirement, paid time off, tuition assistance, paid short-term and long-term disability, paid…"
Dealership Opportunities,https://www.indeed.com/rc/clk?jk=cc374f7326c99d12&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97504","",30+ days ago,"Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / Medical, Dental and Vision Plans."
Custodian II- Oakdale Middle School,https://www.indeed.com/rc/clk?jk=4e18a83e401969ab&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",16 days ago,"Certificates, Licenses, Registrations: Certificates as determined necessary by the District, including valid Oregon driver's license and asbestos training."
Front Desk Service Agent (Full Time),https://www.indeed.com/rc/clk?jk=aa3d3b8498b1173d&fccid=e9a9b021c8db6a59&vjs=3,Rogue Regency Inn,"Medford, OR 97504","",30+ days ago,"Must be flexible and able to work weekends and holidays. / Must be at least 25 years of age, and a clean driving record are also required."
Retail Warehouse Associate,https://www.indeed.com/rc/clk?jk=868d3b8d57b36b65&fccid=027d7cca25a5d14f&vjs=3,Best Buy,"Medford, OR",$15.00 - $18.22 an hour,8 days ago,"When the situation calls for it, you’ll also directly assist customers and collaborate with other employees on the sales floor."
Full-Time Assistant Manager,https://www.indeed.com/rc/clk?jk=f6be3bb92df34ce8&fccid=d96c6845d1817ce8&vjs=3,"Cinemark USA, Inc","Medford, OR 97504","",30+ days ago,"Excellent time management, organizational skills, and attention to detail. / Be able to work in a standing position for extended periods of time."
title,url,company,location,salary,posted,snippets
Fixed Opportunities,https://www.indeed.com/rc/clk?jk=2f6977a4f25c8ac3&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97504","",30+ days ago,"Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / Medical, Dental and Vision Plans."
Office Assistant,https://www.indeed.com/rc/clk?jk=3d75104325d3de08&fccid=ec07258c5a5abaa2&vjs=3,Southern Oregon Goodwill Industries,"Medford, OR 97501",$17 - $20 an hour,10 days ago,The GoodWorks Office Assistant is responsible for providing exceptional customer service to Job Connection customers (job seekers) and is comfortable working…
Pizza Dough Prep – Day Shift,https://www.indeed.com/rc/clk?jk=ddbde0209a7af399&fccid=08ce801a4f0c72b7&vjs=3,Papa Murphy's,"Medford, OR 97504","",30+ days ago,"Completes other prep activities, such as cheese shredding. / Assists with customer service where required (Phones, pizza-making, POS)."
Customer Service Guide (Human Services Specialist 1) – Spanish language preferred,https://www.indeed.com/rc/clk?jk=c4eb49f81b1a328a&fccid=12085f89e1b2bf51&vjs=3,Department of Human Services,"White City, OR","$2,823 - $4,073 a month",30+ days ago,"If you make 120 qualifying payments on your student loan while working full-time for a qualifying employer, your student loan debt may be forgiven."
Advanced Medical Support Assistant,https://www.indeed.com/rc/clk?jk=cd6b710729f3b741&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"White City, OR 97503","$46,220 - $60,082 a year",3 days ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent."
"Parts Delivery Driver - Medford, OR",https://www.indeed.com/rc/clk?jk=bf41e8146828c245&fccid=496635f9700bf6ec&vjs=3,Freightliner Northwest,"Medford, OR 97504","",30+ days ago,"Other: Must have valid driver’s license, be insurable and a clean driving record. / Ability to type and use computer tablet and/or keyboard, send and receive…"
Pizza Maker,https://www.indeed.com/rc/clk?jk=ad87eead7c6f3707&fccid=08ce801a4f0c72b7&vjs=3,Papa Murphy's,"Medford, OR 97501","",30+ days ago,Be in full uniform at the proper workstation at the designated time. / Gives the order to the guest within the 6-minute door to door service time.
